"Nº INSCRIPCIÓN","DENOMINACIÓN SOCIAL","PROVINCIA","LOCALIDAD","CP","CLASE O GRADO","FECHA INSCRIPCIÓN"
"EXT-1258","IBÉRICO DE SALVALEÓN, S. COOP. LTDA.","BADAJOZ","SALVALEON","06174","Sociedades Cooperativas Agroalimentarias",11/02/00
"06/BA-861","LA HERRERIA, S. COOP. LTDA.","BADAJOZ","SALVALEON","06174","Sociedades Cooperativas Agroalimentarias",11/02/00
"06/BA-886","MONTANERA DE SALVALEON S. COOP. LTDA.","BADAJOZ","SALVALEON","06174","Sociedades Cooperativas Agroalimentarias",19/07/00
"EXT-785","MONTE PORRINO, S. COOP. LTDA.","BADAJOZ","SALVALEON","06174","Sociedades Cooperativas Agroalimentarias",14/07/82
"06/BA-818","SOCIEDAD COOPERATIVA DE TRABAJO ASOCIADO SERLYTRAS DE SALVALEON","BADAJOZ","SALVALEON","06174","Sociedades Cooperativas de Trabajo Asociado",26/03/99
"10383","COOPERATIVA DEL CAMPO SAN ISIDRO","BADAJOZ","SALVATIERRA DE LOS BARROS","06175","Sociedades Cooperativas Agroalimentarias",13/12/69
"EXT-586","AGRIMOL, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","SAN FRANCISCO DE OLIVENZA","06109","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",26/02/03
"EXT-931","MUNDIDULCE, S. COOP.","BADAJOZ","SAN FRANCISCO DE OLIVENZA","06109","Sociedades Cooperativas de Trabajo Asociado",11/02/98
"24952","SOCIEDAD COOPERATIVA AGRÍCOLA Y GANADERA SAN FRANCISCO DE OLIVENZA","BADAJOZ","SAN FRANCISCO DE OLIVENZA","06109","Sociedades Cooperativas Agroalimentarias",27/04/79
"BA-149","SOCIEDAD COOPERATIVA LIMITADA SAN JOSÉ DE SAN JORGE DE ALOR","BADAJOZ","SAN JORGE DE ALOR","06108","Sociedades Cooperativas de Trabajo Asociado",13/04/83
"EXT-729","LA TORRE DE ALBARRAGENA, S. COOP. ESPECIAL","BADAJOZ","SAN VICENTE DE ALCANTARA","06500","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",24/03/08
"EXT-705","SOCIEDAD COOPERATIVA GANADEROS DE SANCTI SPIRITUS","BADAJOZ","SANCTI-SPIRITUS","06655","Sociedades Cooperativas Agroalimentarias",04/10/96
"BA-152","SOCIEDAD COOPERATIVA LIMITADA TEXTIL ESPIRITU SANTO","BADAJOZ","SANCTI-SPIRITUS","06655","Sociedades Cooperativas de Trabajo Asociado",11/05/83
"EXT-1263","CASTILLEJILLO EL BOCA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",19/04/21
"06/BA-026","COOPERATIVA AGRÍCOLA LA ENCOMIENDA, S. COOP.","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Trabajo Asociado",08/04/88
"06/BA-019","COOPERATIVA CONSTRUCTORA SANTA AMALIA, S. COOP. LTDA.","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Trabajo Asociado",09/03/88
"EXT-290","ELAFRUEX SOCIEDAD COOPERATIVA","BADAJOZ","SANTA AMALIA","06410","Segundo Grado",19/07/06
"06/BA-356","INVERNADEROS SANTA AMALIA, S. COOP.","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Trabajo Asociado",02/02/89
"BA-100","SANTA GEMA DE SANTA AMALIA, S. COOP. LTDA.","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Trabajo Asociado",12/02/82
"EXT-116","SOCIEDAD COOPERATIVA AMALIA DE SAJONIA","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas Agroalimentarias",30/03/76
"06/BA-424","SOCIEDAD COOPERATIVA BRAULIO HERRERA","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas de Trabajo Asociado",14/02/90
"EXT-528","SOCIEDAD COOPERATIVA EL TOMATE","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas Agroalimentarias",11/12/98
"EXT-471","SOCIEDAD COOPERATIVA RÍO BÚRDALO","BADAJOZ","SANTA AMALIA","06410","Sociedades Cooperativas Agroalimentarias",04/05/78
"EXT-057","TOMALIA, S. COOP. DE ULTERIOR GRADO","BADAJOZ","SANTA AMALIA","06410","Segundo Grado",28/01/03
"EXT-992","AGRICOLA RUCARMA SOCIEDAD COOPERATIVA","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",25/09/99
"EXT-265","COEXALBA, S. COOP.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",21/11/02
"06/BA-707","COLISAN, S. COOP.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",19/01/96
"06/BA-727","CONSTRUCTORA VIRGEN DE GRACIA, SOCIEDAD COOPERATIVA","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",11/07/96
"EXT-158","COOPERATIVA DE PIENSOS SANTA MARTA S. COOP. LTDA.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas Agroalimentarias",23/04/03
"06/BA-663","EL TRANVIA, S. COOP. LTDA.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",11/11/94
"EXT-406","EXPLOTACIONES GEBRERO Y LEBRONAS, S. COOP.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas Agroalimentarias",01/12/06
"EXT-1181","FELYAN, S. COOP. ESPECIAL","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",25/06/18
"EXT-509","MEDIA LUNA, SOCIEDAD COOPERATIVA","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",20/05/91
"EXT-687","ROPIN, S. COOP.","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",16/03/95
"EXT-097","SANTA MARTA VIRGEN SOCIEDAD COOPERATIVA AGROALIMENTARIA","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas Agroalimentarias",28/06/63
"06/BA-787","SOCIEDAD COOPERATIVA DOÑA CARMEN TORRES DE TRABAJO ASOCIADO PARA CONFECCION DE GENERO DE PUNTO","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas de Trabajo Asociado",18/05/98
"EXT-107","SOCIEDAD COOPERATIVA SAN ISIDRO LABRADOR","BADAJOZ","SANTA MARTA DE LOS BARROS","06150","Sociedades Cooperativas Agroalimentarias",21/02/79
"EXT-1296","AGRITRAEX, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas Agroalimentarias",15/11/22
"15023","COOPERATIVA DE TRANSPORTISTAS ATRANDESA","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas de Transportistas",26/07/67
"14041","COOPERATIVA DE VIVIENDAS DON EZEQUIEL FERNANDEZ","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas de Viviendas",28/11/66
"EXT-298","EXPLOTACIONES AGRÍCOLAS COTORRILLO S. COOP.","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas Agroalimentarias",21/06/00
"3128","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LOS ANGELES","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas Agroalimentarias",18/04/47
"EXT-400","SOCIEDAD COOPERATIVA VIRGEN DE LA ESTRELLA","BADAJOZ","SANTOS DE MAIMONA (LOS)","06230","Sociedades Cooperativas Agroalimentarias",31/01/63
"3825","COOPERATIVA CAJA RURAL DE AHORROS Y PRÉSTAMOS","BADAJOZ","SEGURA DE LEON","06270","Sociedades Cooperativas Agroalimentarias",11/11/46
"BA-265","CRISTO DE LA REJA, SOCIEDAD COOPERATIVA LIMITADA DE CONFECCIONES","BADAJOZ","SEGURA DE LEON","06270","Sociedades Cooperativas de Trabajo Asociado",09/04/86
"06/BA-763","EL GORDAL SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","SEGURA DE LEON","06270","Sociedades Cooperativas Agroalimentarias",15/07/97
"06/BA-436","OCTOPUSY, S. COOP. LTDA.","BADAJOZ","SEGURA DE LEON","06270","Sociedades Cooperativas de Trabajo Asociado",15/05/90
"06/BA-304","GANADEROS DE SIRUELA, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","SIRUELA","06650","Sociedades Cooperativas Agroalimentarias",31/10/86
"06/BA-400","LUSO, S. COOP. LTDA.","BADAJOZ","SIRUELA","06650","Sociedades Cooperativas de Trabajo Asociado",24/10/89
"BA-174","MACOPER DE TRABAJO ASOCIADO, S. COOP. LTDA.","BADAJOZ","SIRUELA","06650","Sociedades Cooperativas de Trabajo Asociado",21/11/83
"EXT-876","MONTES DE SIRUELA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","SIRUELA","06650","Sociedades Cooperativas Agroalimentarias",21/04/81
"EXT-436","NUESTRA SEÑORA DE LA ANTIGUA, S. COOP.","BADAJOZ","SIRUELA","06650","Sociedades Cooperativas de Trabajo Asociado",10/07/76
"06/BA-744","CONSTRUCCIONES TRIGO LAVADO, S. COOP.","BADAJOZ","SOLANA DE LOS BARROS","06209","Sociedades Cooperativas de Trabajo Asociado",23/01/97
"EXT-074","SANTA MARÍA MAGDALENA DE SOLANA DE LOS BARROS SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","SOLANA DE LOS BARROS","06209","Sociedades Cooperativas Agroalimentarias",03/02/78
"BA-168","TEXTIL SAN BLAS DE SOLANA, S. COOP. LTDA.","BADAJOZ","SOLANA DE LOS BARROS","06209","Sociedades Cooperativas de Trabajo Asociado",30/08/83
"13765","COOPERATIVA DEL CAMPO LA MODERNA","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas Agroalimentarias",16/09/66
"EXT-633","EXPLOTACIÓN AGRÍCOLA Y GANADERA ""LA JARA"", SOCIEDAD COOPERATIVA","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",20/07/07
"EXT-893","SOCIEDAD COOPERATIVA DE CONSUMIDORES ELÉCTRICOS DE PUERTO PEÑA","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas de Consumidores y Usuarios",13/06/05
"EXT-059","SOCIEDAD COOPERATIVA LIMITADA CENTRAL GANADERA DE TALARRUBIAS","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas Agroalimentarias",24/03/92
"24903","SOCIEDAD COOPERATIVA SAN JOSE","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas de Trabajo Asociado",23/03/79
"EXT-148","SOCIEDAD COOPERATIVA SIBERIA EXTREMEÑA","BADAJOZ","TALARRUBIAS","06640","Sociedades Cooperativas Agroalimentarias",12/06/78
"EXT-1004","AGABA, SOCIEDAD COOPERATIVA","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas Agroalimentarias",18/04/90
"EXT-165","ALDEA DEL CONDE SOCIEDAD COOPERATIVA","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas Agroalimentarias",12/11/85
"EXT-1292","EL PATIO DE LAS RISAS, S. COOP. ESPECIAL","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas de Trabajo Asociado",26/08/22
"EXT-1298","FIGOS DEL FRESNO, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas Agroalimentarias",09/12/22
"EXT-224","HORTIGAEX, S. COOP.","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",15/06/06
"EXT-439","SOCIEDAD COOPERATIVA LIMITADA PRADILLO DE NUESTRA SEÑORA DE GRACIA","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas Agroalimentarias",10/09/86
"EXT-689","TALLER AGRICOLA LA BARRACA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas de Trabajo Asociado",17/06/99
"EXT-549","TALLER DE TAPICERIA Y TOLDOS GAMITO, S. COOP.","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas de Trabajo Asociado",12/09/95
"EXT-865","TOMATES EXTREMEÑOS SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","TALAVERA LA REAL","06140","Sociedades Cooperativas Agroalimentarias",14/04/97
"EXT-552","VIRGEN DEL ROSARIO S. COOP. DE TAMUREJO","BADAJOZ","TAMUREJO","06658","Sociedades Cooperativas Agroalimentarias",09/01/01
"06/BA-703","ALTOVAL EXTREMEÑA, S. COOP. LTDA.","BADAJOZ","TORRE DE MIGUEL SESMERO","06172","Sociedades Cooperativas de Trabajo Asociado",01/12/95
"EXT-1153","EL PROVISOR S. COOP. ESPECIAL","BADAJOZ","TORRE DE MIGUEL SESMERO","06172","Sociedades Cooperativas Agroalimentarias",10/11/17
"EXT-1121","SOCIEDAD COOPERATIVA AGRARÍA EL PUNTAL","BADAJOZ","TORRE DE MIGUEL SESMERO","06172","Sociedades Cooperativas Agroalimentarias",13/09/16
"06/BA-709","SOCIEDAD COOPERATIVA OBRAS Y CONSTRUCCIONES EXTREMEÑAS","BADAJOZ","TORRE DE MIGUEL SESMERO","06172","Sociedades Cooperativas de Trabajo Asociado",31/01/96
"EXT-200","SOCIEDAD COOPERATIVA NTRA. SRA. DE FATIMA","BADAJOZ","TORREFRESNEDA","06410","Sociedades Cooperativas Agroalimentarias",11/03/76
"EXT-1031","CONAMER, S. COOP.","BADAJOZ","TORREMAYOR","06880","Sociedades Cooperativas de Trabajo Asociado",23/04/14
"BA-130","RIBERA DE LÁCARA, S. COOP. LTDA.","BADAJOZ","TORREMAYOR","06880","Sociedades Cooperativas de Trabajo Asociado",01/09/82
"EXT-419","SOCIEDAD COOPERATIVA DE ACEITUNA DE ADEREZO INMACULADA CONCEPCIÓN","BADAJOZ","TORREMEJIA","06210","Sociedades Cooperativas Agroalimentarias",22/02/65
"EXT-398","SOCIEDAD COOPERATIVA EL NOVILLERO","BADAJOZ","TORREMEJIA","06210","Sociedades Cooperativas Agroalimentarias",01/03/02
"EXT-637","SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO ""EL SEÑORIO""","BADAJOZ","TORREMEJIA","06210","Sociedades Cooperativas Agroalimentarias",29/07/86
"EXT-188","SOCIEDAD COOPERATIVA TORREMEGIANA SAN ISIDRO LABRADOR","BADAJOZ","TORREMEJIA","06210","Sociedades Cooperativas Agroalimentarias",09/03/79
"EXT-796","DIDAYMAZ, SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","TORVISCAL (EL)","06719","Sociedades Cooperativas Agroalimentarias",29/01/03
"EXT-804","SAN ANTONIO Y SANTA MARTA SOCIEDAD COOPERATIVA","BADAJOZ","TRASIERRA","06909","Sociedades Cooperativas Agroalimentarias",13/01/09
"EXT-1229","ECONAS ASESORES, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","TRUJILLANOS","06892","Sociedades Cooperativas de Trabajo Asociado",25/10/19
"EXT-418","MERYMON SOCIEDAD COOPERATIVA","BADAJOZ","TRUJILLANOS","06892","Sociedades Cooperativas de Transportistas",23/06/92
"EXT-1157","SOCIEDAD COOPERATIVA AGRARIA CORNALVO DE TRUJILLANOS","BADAJOZ","TRUJILLANOS","06892","Sociedades Cooperativas Agroalimentarias",15/06/01
"EXT-462","AGRICOLA USAGREÑA, SOCIEDAD COOPERATIVA","BADAJOZ","USAGRE","06290","Sociedades Cooperativas Agroalimentarias",16/02/07
"BA-170","CONSTRUCCIONES DE USAGRE, S. COOP. LTDA.","BADAJOZ","USAGRE","06290","Sociedades Cooperativas de Trabajo Asociado",04/10/83
"14741","COOPERATIVA DEL CAMPO DE USAGRE","BADAJOZ","USAGRE","06290","Sociedades Cooperativas Agroalimentarias",15/06/67
"EXT-1268","ARREGLA TOO, S. COOP. ESPECIAL","BADAJOZ","VALDEBOTOA","06194","Sociedades Cooperativas de Trabajo Asociado",27/07/21
"BA-137","SOCIEDAD COOPERATIVA LIMITADA SAN ISIDRO DE VALDEBÓTOA","BADAJOZ","VALDEBOTOA","06194","Sociedades Cooperativas de Viviendas",19/10/82
"EXT-690","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE GUADALUPE","BADAJOZ","VALDEBOTOA","06194","Sociedades Cooperativas Agroalimentarias",25/09/59
"EXT-556","TALLERES MECANICOS TREJO S. COOP.","BADAJOZ","VALDEBOTOA","06194","Sociedades Cooperativas de Trabajo Asociado",27/11/95
"EXT-342","COOPERATIVA PROVINCIAL DEL CAMPO Y DE CONSUMO SAN MIGUEL, S. COOP. LTDA.","BADAJOZ","VALDECABALLEROS","06689","Sociedades Cooperativas Agroalimentarias",23/04/87
"EXT-029","SOCIEDAD COOPERATIVA AGROGANADERA DE VALDECABALLEROS","BADAJOZ","VALDECABALLEROS","06689","Sociedades Cooperativas Agroalimentarias",14/12/98
"19588","SOCIEDAD COOPERATIVA TEXTIL ARTESANA SAN ANTONIO DE PADUA","BADAJOZ","VALDECABALLEROS","06689","Sociedades Cooperativas de Trabajo Asociado",14/04/73
"EXT-692","VILLA-PILAR DE VALDECABALLEROS S. COOP.","BADAJOZ","VALDECABALLEROS","06689","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",10/06/92
"EXT-313","SOCIEDAD COOPERATIVA AGRÍCOLA HORNIGUEL","BADAJOZ","VALDEHORNILLOS","06410","Sociedades Cooperativas Agroalimentarias",24/03/04
"EXT-1290","COMUNIDAD ENERGÉTICA LOCAL VALDELACALZADA, 2022, SOCIEDAD COOPERATIVA","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas de Consumidores y Usuarios",27/07/22
"06/BA-1033","COOPERATIVA DE VIVIENDAS SAN ISIDRO","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas de Viviendas",16/03/70
"EXT-1076","LUGOPE, S. COOP.","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas de Trabajo Asociado",14/09/95
"21237","SOCIEDAD COOPERATIVA AGRICOLA Y GANADERA DE VALDELACALZADA.","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas Agroalimentarias",14/11/75
"EXT-389","SOCIEDAD COOPERATIVA DE ENCOFRADOS EXTREMEÑOS","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas de Trabajo Asociado",13/01/95
"EXT-947","SOCIEDAD COOPERATIVA EXPLUM","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas Agroalimentarias",05/03/12
"19807","SOCIEDAD COOPERATIVA VALDELACALZADA","BADAJOZ","VALDELACALZADA","06185","Sociedades Cooperativas de Consumidores y Usuarios",02/07/73
"EXT-280","AGRIVAL SOCIEDAD COOPERATIVA","BADAJOZ","VALDETORRES","06474","Sociedades Cooperativas Agroalimentarias",13/10/94
"EXT-895","INTRESA, S. COOP. ESPECIAL","BADAJOZ","VALDETORRES","06474","Cooperación y Colaboración Empresarial",19/10/10
"06/BA-687","PUENTE DE PIEDRA, SOCIEDAD COOPERATIVA","BADAJOZ","VALDETORRES","06474","Sociedades Cooperativas Agroalimentarias",06/07/95
"BA-308","SAN PANCRACIO DE VALDETORRES, S. COOP. LTDA.","BADAJOZ","VALDETORRES","06474","Sociedades Cooperativas de Trabajo Asociado",10/11/86
"EXT-476","SOCIEDAD COOPERATIVA CONSTRUCTORA VALDETORRES","BADAJOZ","VALDETORRES","06474","Sociedades Cooperativas de Trabajo Asociado",23/10/89
"EXT-038","TROIL VEGAS ALTAS SOCIEDAD COOPERATIVA DE ULTERIOR GRADO","BADAJOZ","VALDETORRES","06474","Sociedades Cooperativas Agroalimentarias",15/09/00
"20130","COOPERATIVA JESUS OBRERO S. COOP.","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas de Trabajo Asociado",04/03/74
"EXT-777","FRUTAS VALDIVIA EXTREMEÑAS, (FRUVALEX) SOCIEDAD COOPERATIVA","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas Agroalimentarias",25/05/93
"EXT-131","SOCIEDAD COOPERATIVA AGRÍCOLA FRUTAS SALUD","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas Agroalimentarias",28/09/05
"7291","SOCIEDAD COOPERATIVA AGRÍCOLA REGANTE INDUSTRIAL","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas Agroalimentarias",07/12/56
"19774","SOCIEDAD COOPERATIVA DE CONSUMO 3 DE SEPTIEMBRE","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas de Consumidores y Usuarios",28/06/73
"06/BA-345","SOCIEDAD COOPERATIVA EMIFRAAM","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas de Trabajo Asociado",13/12/88
"EXT-767","SOCIEDAD COOPERATIVA FRUVALDIVIA","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas Agroalimentarias",18/05/94
"06/BA-387","SOCIEDAD COOPERATIVA VALDESIBERIA","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas de Trabajo Asociado",19/09/89
"EXT-833","VALTAR SOCIEDAD COOPERATIVA","BADAJOZ","VALDIVIA","06720","Sociedades Cooperativas Agroalimentarias",08/07/99
"EXT-537","NUESTRO SEÑOR DEL GRAN PODER S. COOP.","BADAJOZ","VALENCIA DEL VENTOSO","06330","Sociedades Cooperativas de Trabajo Asociado",22/10/81
"EXT-551","SOCIEDAD COOPERATIVA DEL CAMPO SAN ISIDRO VALENCIA DEL VENTOSO","BADAJOZ","VALENCIA DEL VENTOSO","06330","Sociedades Cooperativas Agroalimentarias",15/03/47
"EXT-279","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LA ESPERANZA","BADAJOZ","VALENCIA DEL VENTOSO","06330","Sociedades Cooperativas de Trabajo Asociado",18/04/77
"EXT-558","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL VALLE","BADAJOZ","VALENCIA DEL VENTOSO","06330","Sociedades Cooperativas de Consumidores y Usuarios",20/09/76
"BA-073","CEDAMANOSA, S. COOP. LTDA.","BADAJOZ","VALLE DE LA SERENA","06458","Sociedades Cooperativas de Trabajo Asociado",01/06/81
"BA-054","CONSTRUCTORA VALSERENA, S. COOP. LTDA.","BADAJOZ","VALLE DE LA SERENA","06458","Sociedades Cooperativas de Trabajo Asociado",17/12/80
"BA-145","SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE LA ASUNCIÓN DE VALLE DE MATAMOROS","BADAJOZ","VALLE DE MATAMOROS","06177","Sociedades Cooperativas de Trabajo Asociado",07/02/83
"7589","COOPERATIVA DE LA ZONA DEL RIO ARDILA","BADAJOZ","VALUENGO","06389","Sociedades Cooperativas Agroalimentarias",10/10/57
"EXT-855","SIERRA DE JEREZ, SOCIEDAD COOPERATIVA","BADAJOZ","VALUENGO","06389","Sociedades Cooperativas Agroalimentarias",18/10/93
"BA-111","PISCIFACTORÍA VALVERDE, S. COOP. LTDA.","BADAJOZ","VALVERDE DE LEGANES","06130","Sociedades Cooperativas de Trabajo Asociado",14/04/82
"EXT-908","SOCIEDAD COOPERATIVA VALDEOLIVAS","BADAJOZ","VALVERDE DE LEGANES","06130","Sociedades Cooperativas Agroalimentarias",17/11/04
"13552","COOOPERATIVA DEL CAMPO SAN ENRIQUE","BADAJOZ","VALVERDE DE LLERENA","06927","Sociedades Cooperativas Agroalimentarias",14/06/66
"06/BA-411","VALVERDEÑOS, S. COOP.","BADAJOZ","VALVERDE DE LLERENA","06927","Sociedades Cooperativas de Trabajo Asociado",15/12/89
"BA-252","ACEITUNERA DE VILLAFRANCA DE LOS BARROS, S. COOP. LTDA.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",27/01/86
"BA-214","ALMACÉN Y MECANIZADOS EXTREMEÑOS AMEX, S. COOP. LTDA.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",16/10/84
"EXT-1247","CENTRO LUDICO INFANTIL VILLAFRANCA DE LOS BARROS, S. COOP. ESPECIAL","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",30/07/20
"06/BA-458","CISTUS, SOCIEDAD COOPERATIVA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",17/10/90
"06/BA-893","CONSTRUCCIONES JARPE, S. COOP. LTDA.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",11/09/00
"EXT-636","CONSTRUCCIONES LARVI S. COOP. LTDA.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",17/07/01
"06/BA-659","CONSTRUCCIONES VILLAFRANCA, SOCIEDAD COOPERATIVA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",17/10/94
"EXT-647","CONSTRUCCIONES Y REFORMAS VILLA EXTREMEÑA, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",24/08/00
"06/BA-845","COOPERATIVA EXTREMEÑA DE MAQUINARIA, S. COOP.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",22/10/99
"EXT-953","DEHESA NUEVA, S. COOP.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas Agroalimentarias",27/04/12
"EXT-634","MENSAJERIA Y TRANSPORTE DE LOS BARROS, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",27/06/00
"SMT-1113","NAVA REDONDA, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",18/10/88
"EXT-104","PAGO LAS ENCOMIENDAS, S. COOP.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas Agroalimentarias",09/07/04
"EXT-623","PALETS PALVI SOCIEDAD COOPERATIVA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Trabajo Asociado",19/04/04
"EXT-147","SOCIEDAD COOPERATIVA AGRÍCOLA VINÍCOLA EXTREMEÑA SAN JOSÉ","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas Agroalimentarias",27/09/63
"EXT-190","SOCIEDAD COOPERATIVA SAN ISIDRO DE VILLAFRANCA","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas Agroalimentarias",04/05/60
"EXT-1182","TIERRAS EXTREMEÑAS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas Agroalimentarias",25/06/18
"EXT-681","TRANSPORTES BASCULANTES EXTREMEÑOS S. COOP.","BADAJOZ","VILLAFRANCA DE LOS BARROS","06220","Sociedades Cooperativas de Transportistas",24/10/01
